Unnamed: 0,ticker,security,industry,subindustry,headquarters,added,founded,marketCap
238.0,HWM,Howmet Aerospace,Industrials,Aerospace & Defense,"New York, New York",1964-03-31,2016,6781402112.0
239.0,HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",1974-12-31,1939 (2015),25024299008.0
240.0,HUM,Humana Inc.,Health Care,Managed Health Care,"Louisville, Kentucky",,1961,51843264512.0
241.0,HBAN,Huntington Bancshares,Financials,Regional Banks,"Columbus, Ohio",,1866,9736512512.0
242.0,HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,"Newport News, Virginia",2018-01-03,2011,7166379520.0
243.0,IEX,IDEX Corporation,Industrials,Industrial Machinery,"Lake Forest, Illinois",2019-08-09,1988,12640960512.0
244.0,IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,"Westbrook, Maine",2017-01-05,,30510483456.0
245.0,INFO,IHS Markit Ltd.,Industrials,Research & Consulting Services,"London, United Kingdom",2017-06-02,1959,31554328576.0
246.0,ITW,Illinois Tool Works,Industrials,Industrial Machinery,"Glenview, Illinois",1986-02-28,,58381070336.0
247.0,ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,"San Diego, California",2015-11-19,,56190750720.0
248.0,INCY,Incyte,Health Care,Biotechnology,"Wilmington, Delaware",2017-02-28,,21611223040.0
249.0,IR,Ingersoll Rand,Industrials,Industrial Machinery,"Milwaukee, Wisconsin",2020-03-03,1859,13164339200.0
250.0,INTC,Intel Corp.,Information Technology,Semiconductors,"Santa Clara, California",1976-12-31,1968,214198000000.0
251.0,ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,"Atlanta, Georgia",2007-09-26,2000,52708425728.0
252.0,IBM,International Business Machines,Information Technology,IT Consulting & Other Services,"Armonk, New York",1957-03-04,1911,111688000000.0
253.0,IP,International Paper,Materials,Paper Packaging,"Memphis, Tennessee",1957-03-04,1898,14275249152.0
254.0,IPG,Interpublic Group,Communication Services,Advertising,"New York, New York",1992-10-01,,7227339776.0
255.0,IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,"New York, New York",1976-03-31,1958 (1889),13561116672.0
256.0,INTU,Intuit Inc.,Information Technology,Application Software,"Mountain View, California",2000-12-05,,75279376384.0
257.0,ISRG,Intuitive Surgical Inc.,Health Care,Health Care Equipment,"Sunnyvale, California",2008-06-02,,78755635200.0
258.0,IVZ,Invesco Ltd.,Financials,Asset Management & Custody Banks,"Atlanta, Georgia",2008-08-21,,4790874112.0
259.0,IPGP,IPG Photonics Corp.,Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",2018-03-07,,9295207424.0
260.0,IQV,IQVIA Holdings Inc.,Health Care,Life Sciences Tools & Services,"Durham, North Carolina",2017-08-29,1982,30202445824.0
261.0,IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,"Boston, Massachusetts",2009-01-06,,7841933312.0
262.0,JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",2018-11-13,1976,13759358976.0
263.0,J,Jacobs Engineering Group,Industrials,Construction & Engineering,"Dallas, Texas",2007-10-26,,10920846336.0
264.0,JBHT,J. B. Hunt Transport Services,Industrials,Trucking,"Lowell, Arkansas",2015-07-01,,13799260160.0
265.0,SJM,JM Smucker,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,,12339639296.0
266.0,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,"New Brunswick, New Jersey",1973-06-30,1886,390496000000.0
267.0,JCI,Johnson Controls International,Industrials,Building Products,"Cork, Ireland",2010-08-27,,27374120960.0
268.0,JPM,JPMorgan Chase & Co.,Financials,Diversified Banks,"New York, New York",1975-06-30,2000 (1799 / 1871),299518000000.0
269.0,JNPR,Juniper Networks,Information Technology,Communications Equipment,"Sunnyvale, California",2006-06-02,1996,8111496704.0
270.0,KSU,Kansas City Southern,Industrials,Railroads,"Kansas City, Missouri",2013-05-24,,14595835904.0
271.0,K,Kellogg Co.,Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,1906,23534577664.0
272.0,KEY,KeyCorp,Financials,Regional Banks,"Cleveland, Ohio",1994-03-01,,11955350528.0
273.0,KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",2018-11-06,2014,18114533376.0
274.0,KMB,Kimberly-Clark,Consumer Staples,Household Products,"Irving, Texas",1957-03-04,1872,50176196608.0
275.0,KIM,Kimco Realty,Real Estate,Retail REITs,"New Hyde Park, New York",2006-04-04,,4649643520.0
276.0,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2012-05-25,1997,32226232320.0
277.0,KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,"Milpitas, California",,1975/1977 (1997),29181771776.0
278.0,KSS,Kohl's Corp.,Consumer Discretionary,General Merchandise Stores,"Menomonee Falls, Wisconsin",,1962,3290393856.0
279.0,KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois; Pittsburgh, Pennsylvania",2015-07-06,2015 (1869),42373066752.0
280.0,KR,Kroger Co.,Consumer Staples,Food Retail,"Cincinnati, Ohio",1957-03-04,1883,27001810944.0
281.0,LB,L Brands Inc.,Consumer Discretionary,Apparel Retail,"Columbus, Ohio",1983-09-30,1963,5331538432.0
282.0,LHX,L3Harris Technologies,Industrials,Aerospace & Defense,"Melbourne, Florida",,2019 (1895),36965580800.0
283.0,LH,Laboratory Corp. of America Holding,Health Care,Health Care Services,"Burlington, North Carolina",2004-11-01,,19317528576.0
284.0,LRCX,Lam Research,Information Technology,Semiconductor Equipment,"Fremont, California",2012-06-29,,50185408512.0
285.0,LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats,"Eagle, Idaho",2018-12-03,2016 (1950),9899984896.0
286.0,LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",2019-10-03,1988,33879062528.0
287.0,LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,1883,4752712704.0
288.0,LDOS,Leidos Holdings,Information Technology,IT Consulting & Other Services,"Reston, Virginia",2019-08-09,1969,12935947264.0
289.0,LEN,Lennar Corp.,Consumer Discretionary,Homebuilding,"Miami, Florida",2005-10-04,1954,21124036608.0
290.0,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,"Indianapolis, Indiana",1970-12-31,1876,152592000000.0
291.0,LNC,Lincoln National,Financials,Multi-line Insurance,"Radnor, Pennsylvania",1976-06-30,1905,7189864960.0
292.0,LIN,Linde plc,Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",1992-07-01,1879,128182000000.0
293.0,LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,"Beverly Hills, California",2019-12-23,2010,10315258880.0
294.0,LKQ,LKQ Corporation,Consumer Discretionary,Distributors,"Chicago, Illinois",2016-05-23,,8498945024.0
295.0,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,"Bethesda, Maryland",1984-07-31,,107962000000.0
296.0,L,Loews Corp.,Financials,Multi-line Insurance,"New York, New York",,,10376324096.0
297.0,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",1984-02-29,1904/1946/1959,111008000000.0
298.0,LYB,LyondellBasell,Materials,Specialty Chemicals,"Rotterdam, Netherlands",2012-09-05,2007,22852831232.0
299.0,MTB,M&T Bank Corp.,Financials,Regional Banks,"Buffalo, New York",2004-02-23,1856,13485339648.0
300.0,MRO,Marathon Oil Corp.,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1991-05-01,,4520584704.0
301.0,MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",2011-07-01,2009 (1887),25165101056.0
302.0,MKTX,MarketAxess,Financials,Financial Exchanges & Data,"New York, New York",2019-07-01,2000,19175358464.0
303.0,MAR,Marriott Int'l.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1927,28372400128.0
304.0,MMC,Marsh & McLennan,Financials,Insurance Brokers,"New York, New York",1987-08-31,,58011361280.0
305.0,MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",2014-07-02,,13920288768.0
306.0,MAS,Masco Corp.,Industrials,Building Products,"Livonia, Michigan",1981-06-30,1929,14269145088.0
307.0,MA,Mastercard Inc.,Information Technology,Data Processing & Outsourced Services,"Harrison, New York",2008-07-18,,308068000000.0
308.0,MKC,McCormick & Co.,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,1889,25776670720.0
309.0,MXIM,Maxim Integrated Products Inc,Information Technology,Semiconductors,"San Jose, California",2018-12-03,1983,17902495744.0
310.0,MCD,McDonald's Corp.,Consumer Discretionary,Restaurants,"Chicago, Illinois",1970-06-30,1940,147759000000.0
311.0,MCK,McKesson Corp.,Health Care,Health Care Distributors,"Irving, Texas",,1833,25183098880.0
312.0,MDT,Medtronic plc,Health Care,Health Care Equipment,"Dublin, Ireland",1986-10-31,1949,129234000000.0
313.0,MRK,Merck & Co.,Health Care,Pharmaceuticals,"Kenilworth, New Jersey",1957-03-04,1891,194608000000.0
314.0,MET,MetLife Inc.,Financials,Life & Health Insurance,"New York, New York",,1868,34688053248.0
315.0,MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",2016-09-06,,20625477632.0
316.0,MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",2017-07-26,,7787912192.0
317.0,MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",2007-09-07,,25298014208.0
318.0,MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",1994-09-27,,55572221952.0
319.0,MSFT,Microsoft Corp.,Information Technology,Systems Software,"Redmond, Washington",1994-06-01,1975,1524040000000.0
320.0,MAA,Mid-America Apartments,Real Estate,Residential REITs,"Memphis, Tennessee",2016-12-02,,12723834880.0
321.0,MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",2013-12-23,,6051394048.0
322.0,TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Denver, Colorado",1976-06-30,"2005 (Molson 1786, Coors 1873)",7951609344.0
323.0,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",2012-10-02,,78324727808.0
324.0,MNST,Monster Beverage,Consumer Staples,Soft Drinks,"Corona, California",2012-06-28,,39429111808.0
325.0,MCO,Moody's Corp,Financials,Financial Exchanges & Data,"New York, New York",,1909,54314999808.0
326.0,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,"New York, New York",,1935,79066619904.0
327.0,MOS,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",2011-09-26,2004 (1865 / 1909),5181203456.0
328.0,MSI,Motorola Solutions Inc.,Information Technology,Communications Equipment,"Chicago, Illinois",,1928 (2011),24103596032.0
329.0,MSCI,MSCI Inc,Financials,Financial Exchanges & Data,"New York, New York",2018-04-04,1969,32238680064.0
330.0,MYL,Mylan N.V.,Health Care,Pharmaceuticals,"Amsterdam, Netherlands",2004-04-23,1961,8250474496.0
331.0,NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,"New York, New York",2008-10-22,,21421111296.0
332.0,NOV,National Oilwell Varco Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2005-03-14,,4945960960.0
333.0,NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",1999-06-25,,9582451712.0
334.0,NFLX,Netflix Inc.,Communication Services,Movies & Entertainment,"Los Gatos, California",2010-12-20,1997,211886000000.0
335.0,NWL,Newell Brands,Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",1989-04-30,,7269073920.0
