,ticker,security,industry,subindustry,headquarters,added,founded
415,SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,1866
416,SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,2003
417,SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",2015-03-12,
418,SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",2015-03-20,
419,SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",1982-09-30,1920
420,SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,1945
421,LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",1994-07-01,
422,SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",1982-09-30,1843
423,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",,1971
424,STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",,1792
425,STE,STERIS plc,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,1985
426,SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,
427,SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",2018-03-19,
428,SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,2003
429,SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",2017-03-16,
430,SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,
431,TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1994
432,TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",,1937
433,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",2018-03-19,
434,TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",,2017
435,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",1976-12-31,1902
436,TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",2011-10-17,2007
437,FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",2009-06-05,2017 (1958)
438,TDY,Teledyne Technologies,Industrials,Aerospace & Defense,"Thousand Oaks, California",2020-06-22,1960
439,TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",2019-01-18,1943
440,TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,1930
441,TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",1978-12-31,1923
442,TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,2006 (1902)
443,TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2000-06-21,
444,TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,
445,TSCO,Tractor Supply Company,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",2014-01-24,
446,TT,Trane Technologies plc,Industrials,Building Products,"Dublin, Ireland",2010-11-17,1871
447,TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1993
448,TRV,The Travelers Companies Inc.,Financials,Property & Casualty Insurance,"New York, New York",2002-08-21,
449,TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",1997-12-04,
450,TWTR,"Twitter, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",2018-06-07,2006
451,TYL,Tyler Technologies,Technology,Application Software,"Plano, Texas",,1966
452,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,1935
453,UDR,"UDR, Inc.",Real Estate,Residential REITs,"Highlands Ranch, Colorado",2016-03-07,
454,ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",2016-04-18,1990
455,USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,1968
