 ,ticker,security,industry,subindustry,HQ City,HQ State,HQ Country,added,founded, marketCap 
202,FBHS,Fortune Brands Home & Security,Industrials,Building Products,Deerfield, Illinois,USA,6/22/2016,2011 (1969)," $9,794,237,440.00 "
206,FCX,Freeport-McMoRan Inc.,Materials,Copper,Phoenix, Arizona,USA,,1912," $19,049,846,784.00 "
189,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,Memphis, Tennessee,USA,12/31/1980,1971," $43,232,886,784.00 "
192,FE,FirstEnergy Corp,Utilities,Electric Utilities,Akron, Ohio,USA,,1997," $15,970,907,136.00 "
185,FFIV,F5 Networks,Information Technology,Communications Equipment,Seattle, Washington,USA,12/20/2010,1996," $9,276,973,056.00 "
190,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,Jacksonville, Florida,USA,11/10/2006,," $88,782,741,504.00 "
194,FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,Brookfield, Wisconsin,USA,4/2/2001,," $67,370,176,512.00 "
191,FITB,Fifth Third Bancorp,Financials,Regional Banks,Cincinnati, Ohio,USA,,1858," $13,910,761,472.00 "
196,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,Wilsonville, Oregon,USA,1/2/2009,," $5,360,596,992.00 "
197,FLS,Flowserve Corporation,Industrials,Industrial Machinery,Irving, Texas,USA,10/2/2008,," $3,945,420,288.00 "
195,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,Norcross, Georgia,USA,6/20/2018,2000," $21,627,670,528.00 "
198,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,Philadelphia, Pennsylvania,USA,8/19/2009,," $13,894,840,320.00 "
204,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,New York, New York,USA,9/18/2015,," $16,030,768,128.00 "
203,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,New York, New York,USA,7/1/2013,," $16,066,009,088.00 "
193,FRC,First Republic Bank,Financials,Regional Banks,San Francisco, California,USA,1/2/2019,1985," $19,688,069,120.00 "
